,,Energy,Intensity
spectrum52,3,-0.046,10.774187199999998
spectrum52,4,0.036,14.5553789
spectrum52,5,0.594,11.2113448
spectrum52,6,0.66,14.43786
spectrum53,0,-0.922,2.30433714
spectrum53,1,-0.776,5.28274562
spectrum53,2,-0.702,6.99292976
spectrum53,3,-0.624,3.36449254
spectrum53,4,-0.49,6.80988212
spectrum53,5,-0.42,6.69344338
spectrum53,6,-0.272,1.34836494
spectrum53,7,-0.172,5.72083923
spectrum53,8,-0.076,4.30822604
spectrum53,9,-0.03,3.74357122
spectrum53,10,0.112,6.1708748
spectrum53,11,0.208,3.96049251
spectrum53,12,0.278,3.11655916
spectrum53,13,0.452,5.84395349
spectrum53,14,0.498,3.86149539
spectrum53,15,0.538,3.29231335
spectrum53,16,0.59,5.23917291
spectrum53,17,0.73,8.31444735
spectrum53,18,0.818,2.81657295
spectrum53,19,0.868,4.37303607
spectrum54,0,-0.876,1.30440384
spectrum54,1,-0.772,5.09069983
spectrum54,2,-0.706,7.01375664
spectrum54,3,-0.612,3.49031065
spectrum54,4,-0.488,6.48931376
spectrum54,5,-0.424,6.82058932
spectrum54,6,-0.342,2.04410752
spectrum54,7,-0.266,1.27425197
spectrum54,8,-0.17,5.76413012
spectrum54,9,-0.084,4.40925888
spectrum54,10,-0.032,3.93433827
